Time_Stamp,Latt_Difference,Long_Difference,Mohau_Long,Mohau_Latt,ISS_Latt,ISS_Long,Range
3,-23.641389,85.45667,28.00403,-26.039511,-49.6809,113.4607,False
3,-21.367589,94.47717,28.00403,-26.039511,-47.4071,122.4812,False
3,-18.385889,102.60297,28.00403,-26.039511,-44.4254,130.607,False
3,-14.829688999999998,109.82477,28.00403,-26.039511,-40.8692,137.8288,False
3,-10.840588999999998,116.19127,28.00403,-26.039511,-36.8801,144.1953,False
3,-6.480388999999999,121.88237,28.00403,-26.039511,-32.5199,149.8864,False
3,-1.850888999999999,126.98997,28.00403,-26.039511,-27.8904,154.994,False
3,2.9828110000000017,131.63377,28.00403,-26.039511,-23.0567,159.6378,False
3,7.968911000000002,135.92087,28.00403,-26.039511,-18.0706,163.9249,False
3,13.064211,139.94457,28.00403,-26.039511,-12.9753,167.9486,False
3,18.233611,143.78867,28.00403,-26.039511,-7.8059,171.7927,False
3,23.420111,147.50997,28.00403,-26.039511,-2.6194,175.514,False
3,28.647111,151.21597,28.00403,-26.039511,2.6076,179.22,False
3,33.861511,-205.04253,28.00403,-26.039511,7.822,-177.0385,False
3,39.034611,-201.19483,28.00403,-26.039511,12.9951,-173.1908,False
3,44.135711,-197.16453,28.00403,-26.039511,18.0962,-169.1605,False
3,49.128911,-192.86823,28.00403,-26.039511,23.0894,-164.8642,False
3,53.970211000000006,-188.21193,28.00403,-26.039511,27.9307,-160.2079,False
3,58.58581100000001,-183.11323,28.00403,-26.039511,32.5463,-155.1092,False
3,62.954111,-177.40303,28.00403,-26.039511,36.9146,-149.399,False
3,66.969611,-170.97573,28.00403,-26.039511,40.9301,-142.9717,False
3,70.527111,-163.71643,28.00403,-26.039511,44.4876,-135.7124,False
3,73.504711,-155.54573,28.00403,-26.039511,47.4652,-127.5417,False
3,75.767611,-146.47373,28.00403,-26.039511,49.7281,-118.4697,False
3,77.18601100000001,-136.65582999999998,28.00403,-26.039511,51.1465,-108.6518,False
3,77.66331100000001,-126.41073,28.00403,-26.039511,51.6238,-98.4067,False
3,77.169111,-116.22033,28.00403,-26.039511,51.1296,-88.2163,False
3,75.735111,-106.41343,28.00403,-26.039511,49.6956,-78.4094,False
3,73.458911,-97.35763,28.00403,-26.039511,47.4194,-69.3536,False
3,70.470211,-89.20293000000001,28.00403,-26.039511,44.4307,-61.1989,False
4,66.856011,-81.86323,28.00403,-26.039511,40.8165,-53.8592,False
4,62.829911,-75.46103,28.00403,-26.039511,36.7904,-47.457,False
4,58.452911,-69.77013,28.00403,-26.039511,32.4134,-41.7661,False
4,53.831511000000006,-64.68763,28.00403,-26.039511,27.792,-36.6836,False
4,48.986111,-60.04413,28.00403,-26.039511,22.9466,-32.0401,False
4,43.990411,-55.75763,28.00403,-26.039511,17.9509,-27.7536,False
4,38.888011,-51.73473,28.00403,-26.039511,12.8485,-23.7307,False
4,33.713811,-47.89133,28.00403,-26.039511,7.6743,-19.8873,False
4,28.499311,-44.15223,28.00403,-26.039511,2.4598,-16.1482,False
4,23.273111,-40.44673,28.00403,-26.039511,-2.7664,-12.4427,False
4,18.086911,-36.72303,28.00403,-26.039511,-7.9526,-8.719,False
4,12.918811000000002,-32.87463,28.00403,-26.039511,-13.1207,-4.8706,False
4,7.826111000000001,-28.84453,28.00403,-26.039511,-18.2134,-0.8405,False
4,2.8441110000000016,-24.54903,28.00403,-26.039511,-23.1954,3.455,False
4,-1.984689,-19.89353,28.00403,-26.039511,-28.0242,8.1105,False
